2026-07-06 11:13:56 | DEBUG    | scraper | Found 10 comment wrappers.
2026-07-06 11:14:36 | INFO     | scraper | Video scraped: 7650112515153595670 —  plays, 1685 likes, 0 comments.
2026-07-06 11:14:36 | INFO     | utils | Data saved to C:\Users\wess\Desktop\python get data\output\video_7650112515153595670.json
2026-07-06 11:14:37 | INFO     | scraper | Session saved to tiktok_session.json
2026-07-06 11:14:37 | INFO     | scraper | TikTokScraper stopped.
2026-07-06 11:15:28 | INFO     | scraper | Starting TikTokScraper …
2026-07-06 11:15:29 | INFO     | scraper | Loaded saved session from tiktok_session.json
2026-07-06 11:15:29 | INFO     | scraper | Browser context created.
2026-07-06 11:15:29 | INFO     | scraper | Scraping video: https://www.tiktok.com/@sagacity698/video/7650112515153595670
2026-07-06 11:15:29 | DEBUG    | scraper | Navigating to https://www.tiktok.com/@sagacity698/video/7650112515153595670
2026-07-06 11:16:43 | DEBUG    | scraper | Could not find comment button to click.
2026-07-06 11:16:43 | DEBUG    | scraper | Found 0 comment wrappers.
2026-07-06 11:17:23 | INFO     | scraper | Video scraped: 7650112515153595670 —  plays, 1685 likes, 0 comments.
2026-07-06 11:17:23 | INFO     | utils | Data saved to C:\Users\wess\Desktop\python get data\output\video_7650112515153595670.json
2026-07-06 11:17:23 | INFO     | scraper | Session saved to tiktok_session.json
2026-07-06 11:17:23 | INFO     | scraper | TikTokScraper stopped.
2026-07-06 11:30:51 | INFO     | scraper | Starting TikTokScraper …
2026-07-06 11:30:51 | INFO     | scraper | Loaded saved session from tiktok_session.json
2026-07-06 11:30:51 | INFO     | scraper | Browser context created.
2026-07-06 11:30:51 | INFO     | scraper | Scraping video: https://www.tiktok.com/@sagacity698/video/7650112515153595670
2026-07-06 11:30:52 | DEBUG    | scraper | Navigating to https://www.tiktok.com/@sagacity698/video/7650112515153595670
2026-07-06 11:32:07 | DEBUG    | scraper | Could not find comment button to click.
2026-07-06 11:32:07 | DEBUG    | scraper | Found 0 comment wrappers.
2026-07-06 11:32:47 | INFO     | scraper | Video scraped: 7650112515153595670 —  plays, 1687 likes, 0 comments.
2026-07-06 11:32:47 | INFO     | utils | Data saved to C:\Users\wess\Desktop\python get data\output\video_7650112515153595670.json
2026-07-06 11:32:47 | INFO     | scraper | Session saved to tiktok_session.json
2026-07-06 11:32:47 | INFO     | scraper | TikTokScraper stopped.
2026-07-06 11:33:18 | INFO     | scraper | Starting TikTokScraper …
2026-07-06 11:33:19 | INFO     | scraper | Loaded saved session from tiktok_session.json
2026-07-06 11:33:19 | INFO     | scraper | Browser context created.
2026-07-06 11:33:19 | INFO     | scraper | Scraping video: https://www.tiktok.com/@sagacity698/video/7650112515153595670
2026-07-06 11:33:19 | DEBUG    | scraper | Navigating to https://www.tiktok.com/@sagacity698/video/7650112515153595670
2026-07-06 11:33:33 | DEBUG    | scraper | Opened comments via '[data-e2e="comment-icon"]'.
2026-07-06 11:33:37 | DEBUG    | scraper | Found 0 comment wrappers.
2026-07-06 11:34:17 | INFO     | scraper | Video scraped: 7650112515153595670 —  plays, 1687 likes, 0 comments.
2026-07-06 11:34:17 | INFO     | utils | Data saved to C:\Users\wess\Desktop\python get data\output\video_7650112515153595670.json
2026-07-06 11:34:17 | INFO     | scraper | Session saved to tiktok_session.json
2026-07-06 11:34:17 | INFO     | scraper | TikTokScraper stopped.
2026-07-06 11:35:33 | INFO     | scraper | Starting TikTokScraper …
2026-07-06 11:35:33 | INFO     | scraper | Loaded saved session from tiktok_session.json
2026-07-06 11:35:34 | INFO     | scraper | Browser context created.
2026-07-06 11:35:34 | INFO     | scraper | Scraping video: https://www.tiktok.com/@sagacity698/video/7650112515153595670
2026-07-06 11:35:34 | DEBUG    | scraper | Navigating to https://www.tiktok.com/@sagacity698/video/7650112515153595670
